Pasta,Arquivo,Dice_Segmentation,Dice_SegmentationInterior
Point1,Au.tif,0.0225106886089241,0.016987342089909506
Point1,B7H3.tif,0.0,0.0
Point1,Background.tif,0.06865770348325911,0.15393477328769747
Point1,Beta catenin.tif,0.0019500678623616103,0.0015776354934131178
Point1,C.tif,0.0,0.0
Point1,Ca.tif,0.0005187348006851408,0.000284647971967665
Point1,CD11b.tif,0.001936667838038343,0.0013104246055075928
Point1,CD11c.tif,0.009878737986171787,0.0069347169636502235
Point1,CD138.tif,0.030374913085179877,0.017581692744995783
Point1,CD16.tif,0.0068529995895338786,0.0030674937201165074
Point1,CD163.tif,0.0,0.0
Point1,CD20.tif,0.07891696865159116,0.07571341383880334
Point1,CD209.tif,0.0005178988998571854,0.00046510800417834733
Point1,CD3.tif,0.038158102463230745,0.05497470130706508
Point1,CD31.tif,0.004646761499580715,0.0042189229164106895
Point1,CD4.tif,0.019259689079084163,0.01934751872670919
Point1,CD45.tif,0.1099510001293678,0.1707387781752775
Point1,CD45RO.tif,0.05908211095823325,0.0785511432009627
Point1,CD56.tif,0.0003872277631840588,0.00038464275668549777
Point1,CD63.tif,0.06114824300577677,0.03641821191781416
Point1,CD68.tif,0.025462984757044806,0.019291967644219567
Point1,CD8.tif,0.011210296865268839,0.011221748529058686
Point1,CSF-1R.tif,0.013489923037610877,0.007653076270408133
Point1,dsDNA.tif,0.03913004073030478,0.5810952711275367
Point1,EGFR.tif,0.0,0.0
Point1,Fe.tif,0.00019882848165676448,0.00036853990842418687
Point1,FoxP3.tif,0.0,0.0
Point1,H3K27me3.tif,0.03905546638555783,0.38185223923235695
Point1,H3K9ac.tif,0.04884219248231623,0.45687985846916557
Point1,HLA-DR.tif,0.13856760927492975,0.23914817668011623
Point1,HLA_Class_1.tif,0.15206831746556246,0.5252447597456931
Point1,IDO.tif,0.000632405282936033,0.0006615577355242951
Point1,Keratin17.tif,2.6196732219622924e-05,0.00014914274698060086
Point1,Keratin6.tif,0.11149154625019951,0.1630716480538648
Point1,Ki67.tif,0.00043963091691492885,0.003840826411896922
Point1,Lag3.tif,0.00015191915805354888,0.00017456073823939394
Point1,MPO.tif,0.0007260077928318482,0.0007673596053772766
Point1,Na.tif,0.0010729260769115924,0.0006260508786409219
Point1,OX40.tif,0.0,0.0
Point1,P.tif,0.0767464406231939,0.46684112474630496
Point1,p53.tif,0.00013084415414488113,0.00034398588132826
Point1,Pan-Keratin.tif,0.12855174560613805,0.20236265803853712
Point1,PD-L1.tif,0.0,0.0
Point1,PD1.tif,0.0009509006125994332,0.0008199140868947999
Point1,phospho-S6.tif,0.09187777447563315,0.403099644151818
Point1,Si.tif,0.0006605070543689469,0.00038918767414776554
Point1,SMA.tif,0.024492932491907878,0.01978771173383148
Point1,Ta.tif,0.019621577898414764,0.012756986685673186
Point1,Vimentin.tif,0.017763146861021466,0.017294366954961768
Point2,Au.tif,0.05988019635687357,0.06603296456394414
Point2,B7H3.tif,0.0,0.0
Point2,Background.tif,0.07446349770319435,0.21372707549215053
Point2,Beta catenin.tif,0.07999957002963212,0.10010243355673264
Point2,C.tif,0.0,0.0
Point2,Ca.tif,0.0009415972605616391,0.0007322953915526739
Point2,CD11b.tif,0.0009048265352287068,0.0004733070531365714
Point2,CD11c.tif,0.0042839087341182734,0.0025383453786053745
Point2,CD138.tif,0.00036838568616950516,0.0001368792841314832
Point2,CD16.tif,0.11780689933821586,0.1021870596387662
Point2,CD163.tif,0.00012972559622566793,0.00019368289546802306
Point2,CD20.tif,0.0009394529388538674,0.0007794611480682237
Point2,CD209.tif,0.03992555455063493,0.030131934515784227
Point2,CD3.tif,0.013784053986503375,0.019589387081447397
Point2,CD31.tif,0.008736017641666694,0.006858292667820458
Point2,CD4.tif,0.008818090387048633,0.007460253572147313
Point2,CD45.tif,0.0800493514754763,0.1034405878151992
Point2,CD45RO.tif,0.07574839526381434,0.10446029359797197
Point2,CD56.tif,0.0011345031623426472,0.0008410292576852849
Point2,CD63.tif,0.008914555919458925,0.006845733684066575
Point2,CD68.tif,0.052438355393639315,0.05481099068914037
Point2,CD8.tif,0.04923441794925228,0.0632117176687978
Point2,CSF-1R.tif,0.03368962176918674,0.02653291207032103
Point2,dsDNA.tif,0.02461650516493846,0.5946562283512595
Point2,EGFR.tif,0.09957082869404894,0.13979947483830849
Point2,Fe.tif,0.0003539425455956274,0.000613216176946822
Point2,FoxP3.tif,0.0,0.0
Point2,H3K27me3.tif,0.011362664758639,0.1339659705585439
Point2,H3K9ac.tif,0.03474072820100025,0.41902285531835626
Point2,HLA-DR.tif,0.06724230610136503,0.06581799514542395
Point2,HLA_Class_1.tif,0.12808575307651415,0.5086309887930062
Point2,IDO.tif,0.0012754063661773087,0.0012086042899880356
Point2,Keratin17.tif,3.41392471613216e-05,0.00017137456598630626
Point2,Keratin6.tif,0.03565754159957058,0.037688660165596966
Point2,Ki67.tif,0.0015109957790661389,0.010695607683214831
Point2,Lag3.tif,0.00036829021268759785,0.0004653716357508832
Point2,MPO.tif,0.0008172104521216826,0.0006406318738685043
Point2,Na.tif,0.038797037288449986,0.44669447558599445
Point2,OX40.tif,3.4158371875362935e-05,4.462194060819705e-05
Point2,P.tif,0.04950288535076131,0.4495699600416654
Point2,p53.tif,0.0007609581338343536,0.0037574050124369804
Point2,Pan-Keratin.tif,0.04908650940649414,0.04259517249603343
Point2,PD-L1.tif,0.07857280312298112,0.07499586535289544
Point2,PD1.tif,0.001019177523738343,0.0011521361891854234
Point2,phospho-S6.tif,0.026225351352809474,0.042833450401935536
Point2,Si.tif,0.00012811608666041819,0.0001244954392158609
Point2,SMA.tif,0.013333927083267066,0.011675450757264179
Point2,Ta.tif,0.049546553252106565,0.04298232302149347
Point2,Vimentin.tif,0.10818077350045174,0.20389507886650546
Point3,Au.tif,0.03412375484723738,0.027004849322131222
Point3,B7H3.tif,0.0,0.0
Point3,Background.tif,0.07488913468727276,0.1709384331234431
Point3,Beta catenin.tif,0.1582865534625581,0.27792524796970236
Point3,C.tif,0.0,0.0
Point3,Ca.tif,0.02116239776061062,0.022682977971396
Point3,CD11b.tif,0.006338220394265067,0.004847313780280095
Point3,CD11c.tif,0.10430353735505651,0.10118441150472329
Point3,CD138.tif,0.05451163651506038,0.039454589760282814
Point3,CD16.tif,0.07695310282177936,0.03603097395719316
Point3,CD163.tif,0.0,0.0
Point3,CD20.tif,0.059713094613002865,0.05752163374295455
Point3,CD209.tif,0.00227631875987659,0.0015631565741590252
Point3,CD3.tif,0.071356741021504,0.08777653343447102
